0,1,2,3,4,query_len,query_unique,title_len,title_unique,dif,dif_unique,query_title_same_len,samelen_query_rate,samelen_title_rate,q_t_all_len,q_t_unique_len,q_t_all_word_len,q_t_diff_len,q_t_diff_q_rate,q_t_diff_t_rate,query_diff_title,query_diff_title_rate,title_diff_query,title_diff_query_rate,dice,jaccord,query_count,title_count,lcseque_lens,lcsubstr_lens,ratio,jaro,jaro_winkler,cosine_similarity_tfidf,cosine_similarity,levenshtein,Pehrson,list_dis,word_list_similarity,word2vec_query_mean,word2vec_query_max,word2vec_title_mean,word2vec_title_max,word2vec_query_title_mean,word2vec_query_title_max,jaroWinkler_jaro_mean,jaroWinkler_jaro_product,jaroWinkler_jaro_subtraction,cosine_similarity_Pehrson_mean,cosine_similarity_Pehrson_product,cosine_similarity_Pehrson_subtraction,title_tf_max,query_title_tf_max,title_idf_mean,query_title_idf_mean,title_tfidfvec_mean,title_tfidfvec_max,query_title_tfidfvec_mean,query_title_tfidfvec_max
1076,2867 11518 1162 226 118 1747,1,2867 1747 36 258 351 326 11501 15 996 118 83035 11518 2408 11,0,6,2,14,10,8,8,4,0.6666667,0.2857143,20,16,16,12,2.0,0.85714287,2,0.14285715,10,0.71428573,0.4,0.25,1,1,20,7,0.4494382,0.61697185,0.8467887,0.44,0.44,41,-0.48795003,0.38,0.0,,,,,,,0.7318803,0.5224448,0.22981685,-0.023975015,-0.21469802,0.92795,0.07142857142857142,0.1,1.146128035678238,1.225772496747986,0.049859932670084775,0.20886282915942656,0.05185701562144573,0.20014171661013996
1886,700 16739 27155 9552 10,9,700 16739 27155 7182 27 7361 11130 27 1638 23248 1944 235 323 16739,0,5,2,14,9,9,7,3,0.6,0.21428572,19,14,14,11,2.2,0.78571427,2,0.14285715,9,0.64285713,0.3529412,0.21428572,2,1,21,16,0.46666667,0.6976909,1.0,0.42,0.42,46,-0.27888668,0.41102758,0.0,,,,,,,0.8488455,0.6976909,0.3023091,0.070556656,-0.1171324,0.69888663,0.14285714285714285,0.15789473684210525,1.0959563697342412,1.180167083687714,0.052020784935530105,0.2102480079275731,0.053870474261837886,0.19582016401241334
941,215 13742 8 431 10,1,13742 2866 1816 7427 109 12271 30 37 554 63 37 8 835 37 32 10 114,0,5,2,17,12,12,10,3,0.6,0.1764706,22,17,17,14,2.8,0.8235294,2,0.11764706,12,0.7058824,0.3,0.1764706,1,1,14,6,0.33734939,0.5866809,0.5866809,0.21,0.28,51,-0.4346135,0.31558442,1.0000000000000002,0.003552777459844947,0.34945347905158997,0.003552777459844947,0.34945347905158997,0.003552777459844947,0.34945347905158997,0.5866809,0.34419447,0.0,-0.07730675,-0.12169178,0.7146135,0.17647058823529413,0.13636363636363635,1.1986408377302962,1.2612337842509351,0.05320032182482883,0.2049419182956133,0.05552458967480312,0.19114115871960746
1588,10292 13344,14,934 4342 6367 27 227 18 30871 19 3016 106911 16 61455 27 61820 57866 11,0,2,2,16,15,14,13,0,0.0,0.0,18,17,17,17,8.5,1.0625,2,0.125,15,0.9375,0.0,0.0,2,1,7,2,0.17073171,0.45927078,0.45927078,0.0,0.0,64,-0.8262364,0.10793651,0.0,,,,,,,0.45927078,0.21092965,0.0,-0.4131182,-0.0,0.8262364,0.125,0.1111111111111111,1.184051316278326,1.2375648582995424,0.05551937779542433,0.18696914254002822,0.058670046435488746,0.17390624109975295
1247,60 89 1262 154,5,375 1262 251 19360 37 60 3 66 3 711 1262 154 89 2394,0,4,0,14,8,10,8,4,1.0,0.2857143,18,12,12,8,2.0,0.5714286,0,0.0,8,0.5714286,0.5,0.33333334,1,1,12,9,0.36363637,0.4571632,0.4571632,0.67,0.59,40,0.15811388,0.33333334,0.0,,,0.001242185477167368,0.34857121109962463,0.001242185477167368,0.34857121109962463,0.4571632,0.2089982,0.0,0.37405694,0.093287185,0.43188608,0.14285714285714285,0.16666666666666666,1.0959563697342412,1.1151690686553406,0.049466953325181175,0.22720956910583248,0.049264334999183104,0.2244723137276074
139,530 3645 39703 1898 28,4,3645 897 1630 147 28 108 40221 27 14277 20948 134712 15 39703 73,0,5,2,14,11,9,9,3,0.6,0.21428572,19,16,16,13,2.6,0.9285714,2,0.14285715,11,0.78571427,0.31578946,0.1875,1,1,15,8,0.3488372,0.5424032,0.5424032,0.36,0.36,51,-0.5606119,0.2932331,0.0,,,,,,,0.5424032,0.29420125,0.0,-0.100305945,-0.2018203,0.9206119,0.07142857142857142,0.10526315789473684,1.146128035678238,1.2223104767658324,0.05512805696521792,0.18952545741297686,0.05633786288892523,0.1804228652838165
2324,22192 31451 17248 167,1,295 18 22192 3423 19 117350 62 1292 458 36 17248 31451 1163 27 17248 289 11,1,4,1,17,13,13,12,3,0.75,0.1764706,21,17,17,14,3.5,0.8235294,1,0.05882353,13,0.7647059,0.3,0.1764706,1,1,20,8,0.41666666,0.5702423,0.61321807,0.46,0.46,55,0.0,0.32380953,0.0,,,,,,,0.5917302,0.34968287,0.042975783,0.23,0.0,0.46,0.11764705882352941,0.14285714285714285,1.211634546649275,1.258738044966412,0.05480322087734055,0.1965509657235809,0.05503779282089944,0.1925556865067549
476,4775 3860 148,2,4855 270 555 33100 148 78 78 4775 6536 131669 13240 366 908 1309,0,3,1,14,11,11,10,2,0.6666667,0.14285715,17,14,14,12,4.0,0.85714287,1,0.071428575,11,0.78571427,0.25,0.14285715,1,1,11,5,0.2857143,0.53846157,0.5846154,0.29,0.29,53,-0.4605662,0.23529412,0.0,,,,,,,0.56153846,0.31479293,0.046153843,-0.0852831,-0.13356419,0.7505662,0.14285714285714285,0.11764705882352941,1.122971882165624,1.1659424937359921,0.05259460301722608,0.1997782959274095,0.05390610957300656,0.1880001372777878
194,8696 22993,14,6512 173 24 14220 23 314 5554 51 1094 338 27 40315 991 674 2307 27 2719 13467,0,2,2,18,17,16,15,0,0.0,0.0,20,19,19,19,9.5,1.0555556,2,0.11111111,17,0.9444444,0.0,0.0,3,1,8,2,0.18390805,0.38831168,0.38831168,0.0,0.0,69,-0.82502866,0.08214286,0.0,,,,,,,0.38831168,0.15078597,0.0,-0.41251433,-0.0,0.82502866,0.1111111111111111,0.1,1.2375648582995424,1.2851863116816664,0.05720375842956587,0.18520125560432207,0.059676688022560244,0.17298411311768108
1380,17743 122 2231 240 25164 567,1,17743 122 2231 36 3723 309 17 31 27 630 25164 567 30 11 796 13021 15 10 37,1,6,1,19,14,13,13,5,0.8333333,0.2631579,25,20,20,15,2.5,0.7894737,1,0.05263158,14,0.7368421,0.4,0.25,1,1,27,15,0.5294118,0.66465575,1.0,0.47,0.47,47,-0.35043833,0.432,0.0,,,,,,,0.83232784,0.66465575,0.33534425,0.059780836,-0.164706,0.8204383,0.05263157894736842,0.08,1.2787536009528289,1.3226825097560424,0.053691456081831554,0.20324388946780675,0.05450216152679162,0.19660498725399045
